	word	category	matched
332	pharmacy	NN	0
333	existing	VBG	0
334	thursday	NN	0
335	laugh	NN	0
336	minute	NN	0
337	goodbye	NN	0
338	window	NN	0
339	same	JJ	0
340	love	NN	1
341	hospital	NN	0
342	memorize	NN	0
343	push	NN	1
344	grandfather	NN	0
345	congratulations	NNS	0
346	say	VB	0
347	trousers	NNS	0
348	tuesday	NN	0
349	see	VB	0
350	tap	NN	0
351	laugh	NN	0
352	hammer	NN	0
353	single	JJ	0
354	evil	NN	0
355	friday	NN	0
356	feast	NN	0
357	push	NN	1
358	dog	NN	0
359	hurry	NN	0
360	photograph	NN	0
361	radiator	NN	0
362	sibling	VBG	0
363	lap	NN	0
364	far	RB	0
365	honey	NN	0
366	crossroads	NNS	0
367	yesterday	NN	0
368	free	JJ	1
369	pastrami	NN	0
370	olympiad	NN	0
371	you	PRP	0
372	get_well	NN	0
373	forbidden	NN	0
374	past	NN	1
375	pencil	NN	0
376	road	NN	0
377	father	NN	0
378	fasting	VBG	0
379	they	PRP	0
380	lap	NN	0
381	photograph	NN	0
382	grandfather	NN	0
383	cotton	NN	0
384	time	NN	0
385	light	NN	0
386	how	WRB	0
387	picnic	NN	0
388	hammer	NN	0
389	bring	NN	0
390	wall	NN	0
391	elephant	NN	0
392	father	NN	0
393	not_interested	VBN	0
394	guest	NN	0
395	difficult	JJ	0
396	animal	NN	0
397	tree	NN	0
398	flag	NN	0
399	free	JJ	1
400	minute	NN	0
401	kin	NN	0
402	salary	NN	0
403	forbidden	NN	0
404	date	NN	0
405	cologne	NN	0
406	memorize	NN	0
407	star	NN	0
408	change	NN	1
409	comb	NN	0
410	light	NN	0
411	wall	NN	0
412	time	NN	0
413	glove	NN	0
414	escape	NN	0
415	umbrella	NN	0
416	star	NN	0
417	wise	NN	0
418	psychology	NN	0
419	right	NN	0
420	wait	NN	0
421	book	NN	0
422	wall	NN	0
423	sunday	NN	0
424	say	VB	0
425	holiday	NN	0
426	hungry	NN	0
427	elephant	NN	0
428	eat	NN	0
429	room	NN	0
430	salary	NN	0
431	full	JJ	0
432	police	NNS	0
433	psychology	NN	0
434	petrol	NN	0
435	halal	NN	0
436	radiator	NN	0
437	absent	NN	0
438	flag	NN	0
439	lightweight	NN	0
440	yes	NNS	0
441	enjoy_your_meal	NN	0
442	house	NN	1
443	thanks	NNS	0
444	difficult	JJ	0
445	friend	NN	0
446	smell	NN	0
447	glass	NN	0
448	orange	NN	0
449	elephant	NN	0
450	love	NN	0
451	flag	NN	0
452	grandfather	NN	0
453	telephone	NN	0
454	minute	NN	0
455	danger	NN	0
456	animal	NN	0
457	hammer	NN	0
458	teacher	NN	0
459	fasting	VBG	0
460	wedding	NN	0
461	scales	NNS	1
462	god_preserve	NN	0
463	you	PRP	0
464	cologne	NN	0
465	date	NN	0
466	champion	NN	0
467	drink	NN	0
468	mother	NN	0
469	egg	NN	0
470	crossroads	NNS	0
471	breakfast	NN	0
472	rent	NN	0
473	ugly	RB	0
474	house	NN	1
475	guest	NN	0
476	potato	NN	0
477	see	VB	0
478	saturday	NN	0
479	key	NN	0
480	oven	RB	0
481	glove	NN	0
482	sauce	NN	0
483	comb	NN	0
484	mirror	NN	0
485	never	RB	0
486	belt	NN	0
487	wallet	NN	0
488	stain	NN	0
489	nope	NN	0
490	where	WRB	0
491	mince	NN	0
492	not_interested	VBN	0
493	full	JJ	0
494	monday	NN	0
495	you	PRP	0
496	say	VB	0
497	tree	NN	0
498	tongs	NNS	0
499	far	RB	0
500	tired	VBN	0
501	radiator	NN	0
502	apologize	VB	0
503	radiator	NN	0
504	show	NN	0
505	alone	RB	0
506	always	RB	0
507	scissors	NNS	0
508	we	PRP	0
509	child	NN	0
510	honey	NN	0
511	money	NN	0
512	grandmother	NN	0
513	light	NN	0
514	danger	NN	0
515	doctor	NN	0
516	teacher	NN	0
517	fault	NN	0
518	trousers	NNS	0
519	sweet	NN	0
520	topple	NN	0
521	why	WRB	0
522	slow	VB	0
523	ill	NN	0
524	shoe	NN	0
525	teacher	NN	0
526	telephone	NN	0
527	accident	NN	0
528	egg	NN	0
529	hurry	NN	0
530	needle	NN	0
531	danger	NN	0
532	crossroads	NNS	0
533	father	NN	0
534	hat	NN	0
535	far	RB	0
536	friday	NN	0
537	picnic	NN	0
538	lightweight	NN	0
539	retired	VBN	0
540	inform	NN	0
541	elephant	NN	0
542	football	NN	0
543	bring	NN	0
544	yesterday	NN	1
545	tired	VBN	0
546	tongs	NNS	0
547	room	NN	0
548	absent	NN	0
549	hurry	NN	0
550	hospital	NN	0
551	allright	NN	0
552	danger	NN	0
553	oven	RB	0
554	wrong	JJ	0
555	ataturk	NN	0
556	screwdriver	NN	0
557	laugh	NN	0
558	mince	NN	0
559	breakfast	NN	0
560	be_pleased	VBN	0
561	room	NN	0
562	turkey	NN	0
563	photograph	NN	0
564	angel	NN	0
565	be_pleased	VBN	0
566	crossroads	NNS	0
567	enemy	NN	0
568	request	NN	0
569	child	NN	0
570	time	NN	0
571	orange	NN	0
572	baby	NN	0
573	pharmacy	NN	0
574	father	NN	0
575	school	NN	1
576	minute	NN	0
577	wednesday	NN	0
578	key	NN	0
579	stain	NN	0
580	saturday	NN	0
581	house	NN	0
582	help	NN	0
583	ceiling	NN	1
584	single	JJ	0
585	tree	NN	0
586	guest	NN	0
587	door	NN	0
588	medicine	NN	0
589	voice	NN	0
590	where	WRB	0
591	unwise	NN	0
592	milk	NN	0
593	scissors	NNS	0
594	thanks	NNS	0
595	male	NN	0
596	love	NN	1
597	feast	NN	0
598	wrong	JJ	0
599	who	WP	0
600	shirt	NN	0
601	I	PRP	0
602	tax	NN	0
603	bed	NN	0
604	orange	NN	0
605	hi	NN	0
606	pencil	NN	0
607	animal	NN	0
608	mother	NN	0
609	sunday	NN	0
610	danger	NN	0
611	meal	NN	0
612	monday	NN	0
613	identity	NN	0
614	light	NN	0
615	tailor	NN	0
616	who	WP	0
617	lap	NN	0
618	champion	NN	0
619	together	RB	0
620	glove	NN	0
621	tuesday	NN	0
622	scissors	NNS	0
623	cry	NN	0
624	inform	NN	1
625	war	NN	0
626	female	NN	0
627	sauce	NN	0
628	breakfast	NN	0
629	cologne	NN	0
630	hat	NN	0
631	drink	NN	0
632	promise	NN	0
633	how	WRB	0
634	okay	NN	0
635	scissors	NNS	0
636	where	WRB	0
637	unwise	NN	0
638	feast	NN	0
639	angel	NN	0
640	belt	NN	0
641	manager	NN	0
642	fasting	VBG	0
643	you	PRP	0
644	turkey	NN	0
645	carpet	NN	0
646	saturday	NN	0
647	hi	NN	0
648	unwise	NN	0
649	alone	RB	0
650	belt	NN	0
651	eat	NN	0
652	olympiad	NN	0
653	police	NNS	0
654	enjoy_your_meal	NN	0
655	forest	NN	0
656	push	NN	1
657	together	RB	0
658	glove	NN	0
659	tailor	NN	0
660	look	NN	1
661	tap	NN	0
662	work	NN	0
663	lightweight	NN	0
664	male	NN	0
665	police	NNS	0
666	border	NN	0
667	meal	NN	0
668	dog	NN	0
669	wood	NN	0
670	they	PRP	0
671	teapot	NN	0
672	wise	NN	0
673	ceiling	NN	0
674	I	PRP	0
675	fault	NN	0
676	escape	NN	0
677	identity	NN	0
678	towel	NN	0
679	topple	NN	0
680	cry	NN	0
681	elephant	NN	0
682	existing	VBG	0
683	hour	NN	0
684	meal	NN	0
685	flour	NN	0
686	we	PRP	0
