	word	category	matched
239	you guys	PRP	0
240	Yes	UH	0
241	good	JJ	1
242	Yes	UH	1
243	now	RB	0
244	good	JJ	1
245	coexistence	NN	0
246	now	RB	0
247	remind	NN	0
248	before	IN	0
249	emotion	NN	0
250	emotion	NN	1
251	Yes	UH	0
252	teacher	NN	0
253	Yes	UH	0
254	joy	NN	0
255	grandfather	NN	0
256	home	NN	1
257	to want	TO	0
258	grandfather	NN	0
259	intelligent	NN	1
260	one	CD	1
261	day	NN	0
262	grandfather	NN	0
263	dad	NN	0
264	mother	NN	1
265	tell	NN	0
266	grandfather	NN	0
267	bedroom	NN	0
268	to sleep	TO	0
269	M-A-R-C-O	NN	0
270	bedroom	NN	0
271	A-L-E-X	JJ	0
272	different	JJ	0
273	emotion	NN	0
274	each	DT	0
275	watch	NN	0
276	M-A-R-C-O	NN	0
277	happy	JJ	0
278	watch	NN	0
279	A-L-E-X	JJ	0
280	anger	NN	0
281	Yes	UH	0
282	good	JJ	0
283	identify	VB	0
284	From	IN	0
285	emotion	NN	1
286	learn	NN	0
287	before	IN	1
288	joy	NN	0
289	go to	VB	0
290	emotion	NN	0
291	remember	VB	0
292	your	PRP$	0
293	joy	NN	0
294	go to	VB	0
295	sadness	NN	0
296	afraid	NN	0
297	disgust	NN	0
298	surprise	NN	1
